,Unnamed: 0,country,year,population,gdp per capita nominal,gdp per capita ppp,iso_code,GNI,predicted_renewables_consumption
288,288,Somalia,2024,19009151,771.447,1844.086,SOM,,0.0
289,289,Somalia,2023,18358615,683.343,1780.276,SOM,590.0,0.0
290,290,South Africa,2024,64007187,6377.068,15723.251,ZAF,,59.00110999999999
291,291,South Africa,2023,63212384,6111.746,15423.596,ZAF,6480.0,69.47896999999995
292,292,South Sudan,2024,11943408,340.986,762.925,SSD,,0.0
293,293,South Sudan,2023,11483374,478.118,1042.097,SSD,,0.0
294,294,Spain,2024,47910526,35788.734,55089.205,ESP,,292.5535899999999
295,295,Spain,2023,47911579,33895.593,52907.924,ESP,32830.0,279.5441299999999
296,296,Sudan,2024,50448963,606.289,2512.814,SDN,,2.16369
297,297,Sudan,2023,50042791,795.679,3158.077,SDN,880.0,2.16369
298,298,Suriname,2024,634431,7599.512,21403.829,SUR,,0.0
299,299,Suriname,2023,628886,5879.596,20614.284,SUR,5200.0,0.0
300,300,Sweden,2024,10606999,57212.541,71730.789,SWE,,283.8605899999999
301,301,Sweden,2023,10551494,55433.135,70046.951,SWE,60480.0,278.1279099999997
302,302,Switzerland,2024,8921981,106097.643,95836.636,CHE,,104.41068
303,303,Switzerland,2023,8870561,101510.023,93054.781,CHE,95070.0,106.19809000000006
304,304,Taiwan,2024,23213962,33233.799,79031.076,TWN,,32.767639999999986
305,305,Taiwan,2023,23317145,32404.32,74408.882,TWN,,32.73263999999999
306,306,Tajikistan,2024,10590927,1275.5,5532.774,TJK,,0.0
307,307,Tajikistan,2023,10389799,1183.908,5147.945,TJK,1400.0,0.0
308,308,Tanzania,2024,68560157,1224.368,4134.116,TZA,,42.108810000000005
309,309,Tanzania,2023,66617606,1249.348,3943.736,TZA,1220.0,38.01572
310,310,Thailand,2024,71668011,7527.382,25211.769,THA,,83.01253999999996
311,311,Thailand,2023,71702435,7335.637,23981.207,THA,7200.0,91.47158999999994
312,312,Togo,2024,9515236,1051.216,3289.861,TGO,,0.0
313,313,Togo,2023,9304337,1001.112,3125.219,TGO,1000.0,0.0
314,314,Tonga,2024,104175,5483.29,7810.975,TON,,0.0
315,315,Tonga,2023,104597,5218.576,7477.138,TON,,0.0
316,316,Trinidad and Tobago,2024,1507782,19703.041,34987.234,TTO,,0.014869999999999977
317,317,Trinidad and Tobago,2023,1502932,19718.195,33790.98,TTO,21000.0,0.014869999999999977
318,318,Tunisia,2024,12277109,4266.985,14338.485,TUN,,0.0
319,319,Tunisia,2023,12200431,3967.481,13892.913,TUN,3840.0,0.0
320,320,Turkey,2024,87473805,15665.943,40283.307,TUR,,193.73901999999995
321,321,Turkey,2023,87270501,13235.882,38390.949,TUR,11730.0,262.14392
322,322,Turkmenistan,2024,7494498,12713.274,26881.366,TKM,,0.01687999999999998
323,323,Turkmenistan,2023,7364438,11926.706,25977.504,TKM,8250.0,0.017209999999999975
324,324,Tuvalu,2024,9646,7190.27,6479.754,TUV,,0.0
325,325,Tuvalu,2023,9816,6694.759,6138.265,TUV,8770.0,0.0
326,326,Uganda,2024,50015092,1186.529,3641.785,UGA,,1.07077
327,327,Uganda,2023,48656601,1123.325,3460.145,UGA,970.0,2.7308
328,328,Ukraine,2024,37860221,5504.886,19603.124,UKR,,34.63340000000003
329,329,Ukraine,2023,37732836,5241.316,18269.595,UKR,4950.0,34.12489000000003
330,330,United Arab Emirates,2024,11027129,49549.588,77251.442,ARE,,51.229749999999974
331,331,United Arab Emirates,2023,10642081,48140.644,74713.617,ARE,49020.0,51.874080000000006
332,332,United Kingdom,2024,69138192,52423.294,62573.612,GBR,,350.40208999999976
333,333,United Kingdom,2023,68682962,49647.559,60735.429,GBR,47700.0,350.48476999999986
334,334,United States,2024,345426571,86601.28,86601.28,USA,,2396.4458699999986
335,335,United States,2023,343477335,82715.1,82715.1,USA,80450.0,2453.7637099999984
336,336,Uruguay,2024,3386588,23053.261,34440.195,URY,,0.0
337,337,Uruguay,2023,3388081,21656.979,32703.997,URY,19700.0,0.0
338,338,Uzbekistan,2024,36361859,3050.82,11596.421,UZB,,15.617029999999994
339,339,Uzbekistan,2023,35652307,2819.823,10992.112,UZB,2700.0,15.26469999999999
340,340,Vanuatu,2024,327777,3387.16,2878.134,VUT,,0.0
341,341,Vanuatu,2023,320409,3364.838,2882.803,VUT,3820.0,0.0
342,342,Venezuela,2024,28405543,4018.595,8403.841,VEN,,173.1913799999998
343,343,Venezuela,2023,28300854,3737.81,7943.251,VEN,,173.1913799999998
344,344,Vietnam,2024,100987686,4649.054,16193.268,VNM,,175.87702000000007
345,345,Vietnam,2023,100352192,4324.049,14981.697,VNM,4110.0,202.5228600000002
346,346,Yemen,2024,40583164,464.893,1996.036,YEM,,0.96881
347,347,Yemen,2023,39390799,551.953,2012.953,YEM,,0.8280500000000001
348,348,Zambia,2024,21314956,1226.095,4190.267,ZMB,,0.0
349,349,Zambia,2023,20723965,1369.129,4110.186,ZMB,1290.0,0.0
350,350,Zimbabwe,2024,16634373,2113.811,5070.606,ZWE,,0.0
351,351,Zimbabwe,2023,16340822,2119.318,4965.194,ZWE,2060.0,0.0
